split,base_instance,instance_id,relative_path,customer_distribution,schedule_type,has_large
train,c103,c103C5_L,Small_Network/5_Customers/Level/c103C5_L.txt,c,1,False
train,c103,c103C5_NL,Small_Network/5_Customers/Nearly_Level/c103C5_NL.txt,c,1,False
train,c103,c103C5_VG,Small_Network/5_Customers/Very_Gentle/c103C5_VG.txt,c,1,False
train,c104,c104C10_L,Small_Network/10_Customers/Level/c104C10_L.txt,c,1,False
train,c104,c104C10_NL,Small_Network/10_Customers/Nearly_Level/c104C10_NL.txt,c,1,False
train,c104,c104C10_VG,Small_Network/10_Customers/Very_Gentle/c104C10_VG.txt,c,1,False
train,c104,c104C25_NL,Medium_Network/25_Customers/Nearly_Level/c104C25_NL.txt,c,1,False
train,c106,c106C15_L,Small_Network/15_Customers/Level/c106C15_L.txt,c,1,False
train,c106,c106C15_NL,Small_Network/15_Customers/Nearly_level/c106C15_NL.txt,c,1,False
train,c106,c106C15_VG,Small_Network/15_Customers/Very_Gentle/c106C15_VG.txt,c,1,False
train,c206,c206C5_L,Small_Network/5_Customers/Level/c206C5_L.txt,c,2,False
train,c206,c206C5_NL,Small_Network/5_Customers/Nearly_Level/c206C5_NL.txt,c,2,False
train,c206,c206C5_VG,Small_Network/5_Customers/Very_Gentle/c206C5_VG.txt,c,2,False
train,c208,c208C15_L,Small_Network/15_Customers/Level/c208C15_L.txt,c,2,False
train,c208,c208C15_NL,Small_Network/15_Customers/Nearly_level/c208C15_NL.txt,c,2,False
train,c208,c208C15_VG,Small_Network/15_Customers/Very_Gentle/c208C15_VG.txt,c,2,False
train,c208,c208C5_L,Small_Network/5_Customers/Level/c208C5_L.txt,c,2,False
train,c208,c208C5_NL,Small_Network/5_Customers/Nearly_Level/c208C5_NL.txt,c,2,False
train,c208,c208C5_VG,Small_Network/5_Customers/Very_Gentle/c208C5_VG.txt,c,2,False
train,r103,r103C10_L,Small_Network/10_Customers/Level/r103C10_L.txt,r,1,False
train,r103,r103C10_NL,Small_Network/10_Customers/Nearly_Level/r103C10_NL.txt,r,1,False
train,r103,r103C10_VG,Small_Network/10_Customers/Very_Gentle/r103C10_VG.txt,r,1,False
train,r104,r104C25_NL,Medium_Network/25_Customers/Nearly_Level/r104C25_NL.txt,r,1,False
train,r104,r104C5_L,Small_Network/5_Customers/Level/r104C5_L.txt,r,1,False
train,r104,r104C5_NL,Small_Network/5_Customers/Nearly_Level/r104C5_NL.txt,r,1,False
train,r104,r104C5_VG,Small_Network/5_Customers/Very_Gentle/r104C5_VG.txt,r,1,False
train,r105,r105C15_L,Small_Network/15_Customers/Level/r105C15_L.txt,r,1,False
train,r105,r105C15_NL,Small_Network/15_Customers/Nearly_level/r105C15_NL.txt,r,1,False
train,r105,r105C15_VG,Small_Network/15_Customers/Very_Gentle/r105C15_VG.txt,r,1,False
train,r105,r105C5_L,Small_Network/5_Customers/Level/r105C5_L.txt,r,1,False
train,r105,r105C5_NL,Small_Network/5_Customers/Nearly_Level/r105C5_NL.txt,r,1,False
train,r105,r105C5_VG,Small_Network/5_Customers/Very_Gentle/r105C5_VG.txt,r,1,False
train,r107,r107C25_NL,Medium_Network/25_Customers/Nearly_Level/r107C25_NL.txt,r,1,True
train,r107,r107_50_21_NL,Large_Network/50_Customers/Nearly_Level/r107_50_21_NL.txt,r,1,True
train,r202,r202C15_L,Small_Network/15_Customers/Level/r202C15_L.txt,r,2,False
train,r202,r202C15_NL,Small_Network/15_Customers/Nearly_level/r202C15_NL.txt,r,2,False
train,r202,r202C15_VG,Small_Network/15_Customers/Very_Gentle/r202C15_VG.txt,r,2,False
train,r202,r202C5_L,Small_Network/5_Customers/Level/r202C5_L.txt,r,2,False
train,r202,r202C5_NL,Small_Network/5_Customers/Nearly_Level/r202C5_NL.txt,r,2,False
train,r202,r202C5_VG,Small_Network/5_Customers/Very_Gentle/r202C5_VG.txt,r,2,False
train,r203,r203C10_L,Small_Network/10_Customers/Level/r203C10_L.txt,r,2,False
train,r203,r203C10_NL,Small_Network/10_Customers/Nearly_Level/r203C10_NL.txt,r,2,False
train,r203,r203C10_VG,Small_Network/10_Customers/Very_Gentle/r203C10_VG.txt,r,2,False
train,r203,r203C5_L,Small_Network/5_Customers/Level/r203C5_L.txt,r,2,False
train,r203,r203C5_NL,Small_Network/5_Customers/Nearly_Level/r203C5_NL.txt,r,2,False
train,r203,r203C5_VG,Small_Network/5_Customers/Very_Gentle/r203C5_VG.txt,r,2,False
train,rc101,rc101C25_NL,Medium_Network/25_Customers/Nearly_Level/rc101C25_NL.txt,rc,1,False
train,rc103,rc103C15_L,Small_Network/15_Customers/Level/rc103C15_L.txt,rc,1,False
train,rc103,rc103C15_NL,Small_Network/15_Customers/Nearly_level/rc103C15_NL.txt,rc,1,False
train,rc103,rc103C15_VG,Small_Network/15_Customers/Very_Gentle/rc103C15_VG.txt,rc,1,False
train,rc103,rc103C25_NL,Medium_Network/25_Customers/Nearly_Level/rc103C25_NL.txt,rc,1,False
train,rc104,rc104C25_NL,Medium_Network/25_Customers/Nearly_Level/rc104C25_NL.txt,rc,1,False
train,rc105,rc105C5_L,Small_Network/5_Customers/Level/rc105C5_L.txt,rc,1,False
train,rc105,rc105C5_NL,Small_Network/5_Customers/Nearly_Level/rc105C5_NL.txt,rc,1,False
train,rc105,rc105C5_VG,Small_Network/5_Customers/Very_Gentle/rc105C5_VG.txt,rc,1,False
train,rc106,rc106C25_NL,Medium_Network/25_Customers/Nearly_Level/rc106C25_NL.txt,rc,1,False
train,rc201,rc201C10_L,Small_Network/10_Customers/Level/rc201C10_L.txt,rc,2,False
train,rc201,rc201C10_NL,Small_Network/10_Customers/Nearly_Level/rc201C10_NL.txt,rc,2,False
train,rc201,rc201C10_VG,Small_Network/10_Customers/Very_Gentle/rc201C10_VG.txt,rc,2,False
train,rc202,rc202C15_L,Small_Network/15_Customers/Level/rc202C15_L.txt,rc,2,False
train,rc202,rc202C15_NL,Small_Network/15_Customers/Nearly_level/rc202C15_NL.txt,rc,2,False
train,rc202,rc202C15_VG,Small_Network/15_Customers/Very_Gentle/rc202C15_VG.txt,rc,2,False
train,rc204,rc204C15_L,Small_Network/15_Customers/Level/rc204C15_L.txt,rc,2,False
train,rc204,rc204C15_NL,Small_Network/15_Customers/Nearly_level/rc204C15_NL.txt,rc,2,False
train,rc204,rc204C15_VG,Small_Network/15_Customers/Very_Gentle/rc204C15_VG.txt,rc,2,False
train,rc204,rc204C5_L,Small_Network/5_Customers/Level/rc204C5_L.txt,rc,2,False
train,rc204,rc204C5_NL,Small_Network/5_Customers/Nearly_Level/rc204C5_NL.txt,rc,2,False
train,rc204,rc204C5_VG,Small_Network/5_Customers/Very_Gentle/rc204C5_VG.txt,rc,2,False
validation,c108,c108C25_NL,Medium_Network/25_Customers/Nearly_Level/c108C25_NL.txt,c,1,False
validation,c202,c202C10_L,Small_Network/10_Customers/Level/c202C10_L.txt,c,2,False
validation,c202,c202C10_NL,Small_Network/10_Customers/Nearly_Level/c202C10_NL.txt,c,2,False
validation,c202,c202C10_VG,Small_Network/10_Customers/Very_Gentle/c202C10_VG.txt,c,2,False
validation,c202,c202C15_L,Small_Network/15_Customers/Level/c202C15_L.txt,c,2,False
validation,c202,c202C15_NL,Small_Network/15_Customers/Nearly_level/c202C15_NL.txt,c,2,False
validation,c202,c202C15_VG,Small_Network/15_Customers/Very_Gentle/c202C15_VG.txt,c,2,False
validation,r102,r102C10_L,Small_Network/10_Customers/Level/r102C10_L.txt,r,1,True
validation,r102,r102C10_NL,Small_Network/10_Customers/Nearly_Level/r102C10_NL.txt,r,1,True
validation,r102,r102C10_VG,Small_Network/10_Customers/Very_Gentle/r102C10_VG.txt,r,1,True
validation,r102,r102C15_L,Small_Network/15_Customers/Level/r102C15_L.txt,r,1,True
validation,r102,r102C15_NL,Small_Network/15_Customers/Nearly_level/r102C15_NL.txt,r,1,True
validation,r102,r102C15_VG,Small_Network/15_Customers/Very_Gentle/r102C15_VG.txt,r,1,True
validation,r102,r102C25_NL,Medium_Network/25_Customers/Nearly_Level/r102C25_NL.txt,r,1,True
validation,r102,r102_50_21_NL,Large_Network/50_Customers/Nearly_Level/r102_50_21_NL.txt,r,1,True
validation,r209,r209C15_L,Small_Network/15_Customers/Level/r209C15_L.txt,r,2,False
validation,r209,r209C15_NL,Small_Network/15_Customers/Nearly_level/r209C15_NL.txt,r,2,False
validation,r209,r209C15_VG,Small_Network/15_Customers/Very_Gentle/r209C15_VG.txt,r,2,False
validation,rc108,rc108C10_L,Small_Network/10_Customers/Level/rc108C10_L.txt,rc,1,False
validation,rc108,rc108C10_NL,Small_Network/10_Customers/Nearly_Level/rc108C10_NL.txt,rc,1,False
validation,rc108,rc108C10_VG,Small_Network/10_Customers/Very_Gentle/rc108C10_VG.txt,rc,1,False
validation,rc108,rc108C15_L,Small_Network/15_Customers/Level/rc108C15_L.txt,rc,1,False
validation,rc108,rc108C15_NL,Small_Network/15_Customers/Nearly_level/rc108C15_NL.txt,rc,1,False
validation,rc108,rc108C15_VG,Small_Network/15_Customers/Very_Gentle/rc108C15_VG.txt,rc,1,False
validation,rc108,rc108C5_L,Small_Network/5_Customers/Level/rc108C5_L.txt,rc,1,False
validation,rc108,rc108C5_NL,Small_Network/5_Customers/Nearly_Level/rc108C5_NL.txt,rc,1,False
validation,rc108,rc108C5_VG,Small_Network/5_Customers/Very_Gentle/rc108C5_VG.txt,rc,1,False
validation,rc205,rc205C10_L,Small_Network/10_Customers/Level/rc205C10_L.txt,rc,2,False
validation,rc205,rc205C10_NL,Small_Network/10_Customers/Nearly_Level/rc205C10_NL.txt,rc,2,False
validation,rc205,rc205C10_VG,Small_Network/10_Customers/Very_Gentle/rc205C10_VG.txt,rc,2,False
