route_id,raw_instance_id,base_instance,relative_path,network_group,terrain_variant,vehicle_index,n_customers,n_vehicles,route_demand,route_distance,total_distance,fixed_vehicle_cost,lexicographic_objective,routing_feasible,routing_tw_feasible,charging_feasibility_status,route_source_instance_id,terrain_reuse,fleet_policy,generator,generator_version,seed,n_iterations,config_hash,physics_profile,unassigned_customer_ids
c102_50_21_NL__v3,c102_50_21_NL,c102,Large_Network/50_Customers/Nearly_Level/c102_50_21_NL.txt,Large_Network,NL,3,10,5,3285.0,151.104,880.263,9124101,46500768.0,True,True,unverified,c102_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c102_50_21_NL__v4,c102_50_21_NL,c102,Large_Network/50_Customers/Nearly_Level/c102_50_21_NL.txt,Large_Network,NL,4,10,5,2555.0,115.63,880.263,9124101,46500768.0,True,True,unverified,c102_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102_50_21_NL__v0,r102_50_21_NL,r102,Large_Network/50_Customers/Nearly_Level/r102_50_21_NL.txt,Large_Network,NL,0,9,10,2244.75,122.584,907.539,8769301,88600549.0,True,True,unverified,r102_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102_50_21_NL__v1,r102_50_21_NL,r102,Large_Network/50_Customers/Nearly_Level/r102_50_21_NL.txt,Large_Network,NL,1,4,10,1277.5,89.17,907.539,8769301,88600549.0,True,True,unverified,r102_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102_50_21_NL__v2,r102_50_21_NL,r102,Large_Network/50_Customers/Nearly_Level/r102_50_21_NL.txt,Large_Network,NL,2,4,10,1314.0,47.855,907.539,8769301,88600549.0,True,True,unverified,r102_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102_50_21_NL__v3,r102_50_21_NL,r102,Large_Network/50_Customers/Nearly_Level/r102_50_21_NL.txt,Large_Network,NL,3,5,10,1149.75,136.747,907.539,8769301,88600549.0,True,True,unverified,r102_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102_50_21_NL__v4,r102_50_21_NL,r102,Large_Network/50_Customers/Nearly_Level/r102_50_21_NL.txt,Large_Network,NL,4,3,10,511.0,53.719,907.539,8769301,88600549.0,True,True,unverified,r102_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102_50_21_NL__v5,r102_50_21_NL,r102,Large_Network/50_Customers/Nearly_Level/r102_50_21_NL.txt,Large_Network,NL,5,8,10,2007.5,100.54,907.539,8769301,88600549.0,True,True,unverified,r102_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102_50_21_NL__v6,r102_50_21_NL,r102,Large_Network/50_Customers/Nearly_Level/r102_50_21_NL.txt,Large_Network,NL,6,6,10,1149.75,70.642,907.539,8769301,88600549.0,True,True,unverified,r102_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102_50_21_NL__v7,r102_50_21_NL,r102,Large_Network/50_Customers/Nearly_Level/r102_50_21_NL.txt,Large_Network,NL,7,3,10,784.75,107.971,907.539,8769301,88600549.0,True,True,unverified,r102_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102_50_21_NL__v8,r102_50_21_NL,r102,Large_Network/50_Customers/Nearly_Level/r102_50_21_NL.txt,Large_Network,NL,8,4,10,876.0,100.385,907.539,8769301,88600549.0,True,True,unverified,r102_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102_50_21_NL__v9,r102_50_21_NL,r102,Large_Network/50_Customers/Nearly_Level/r102_50_21_NL.txt,Large_Network,NL,9,4,10,949.0,77.926,907.539,8769301,88600549.0,True,True,unverified,r102_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r107_50_21_NL__v0,r107_50_21_NL,r107,Large_Network/50_Customers/Nearly_Level/r107_50_21_NL.txt,Large_Network,NL,0,11,6,3504.0,111.837,685.351,9183101,55783957.0,True,True,unverified,r107_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r107_50_21_NL__v1,r107_50_21_NL,r107,Large_Network/50_Customers/Nearly_Level/r107_50_21_NL.txt,Large_Network,NL,1,7,6,1204.5,113.871,685.351,9183101,55783957.0,True,True,unverified,r107_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r107_50_21_NL__v2,r107_50_21_NL,r107,Large_Network/50_Customers/Nearly_Level/r107_50_21_NL.txt,Large_Network,NL,2,8,6,2299.5,142.701,685.351,9183101,55783957.0,True,True,unverified,r107_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r107_50_21_NL__v3,r107_50_21_NL,r107,Large_Network/50_Customers/Nearly_Level/r107_50_21_NL.txt,Large_Network,NL,3,8,6,2117.0,96.301,685.351,9183101,55783957.0,True,True,unverified,r107_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r107_50_21_NL__v4,r107_50_21_NL,r107,Large_Network/50_Customers/Nearly_Level/r107_50_21_NL.txt,Large_Network,NL,4,8,6,1660.75,110.395,685.351,9183101,55783957.0,True,True,unverified,r107_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r107_50_21_NL__v5,r107_50_21_NL,r107,Large_Network/50_Customers/Nearly_Level/r107_50_21_NL.txt,Large_Network,NL,5,8,6,1679.0,110.246,685.351,9183101,55783957.0,True,True,unverified,r107_50_21_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,40000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c101C25_NL__v0,c101C25_NL,c101,Medium_Network/25_Customers/Nearly_Level/c101C25_NL.txt,Medium_Network,NL,0,4,5,730.0,71.486,621.473,4530201,23272478.0,True,True,unverified,c101C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c101C25_NL__v1,c101C25_NL,c101,Medium_Network/25_Customers/Nearly_Level/c101C25_NL.txt,Medium_Network,NL,1,5,5,1460.0,112.631,621.473,4530201,23272478.0,True,True,unverified,c101C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c101C25_NL__v2,c101C25_NL,c101,Medium_Network/25_Customers/Nearly_Level/c101C25_NL.txt,Medium_Network,NL,2,5,5,2372.5,190.17,621.473,4530201,23272478.0,True,True,unverified,c101C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c101C25_NL__v3,c101C25_NL,c101,Medium_Network/25_Customers/Nearly_Level/c101C25_NL.txt,Medium_Network,NL,3,6,5,2372.5,121.796,621.473,4530201,23272478.0,True,True,unverified,c101C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c101C25_NL__v4,c101C25_NL,c101,Medium_Network/25_Customers/Nearly_Level/c101C25_NL.txt,Medium_Network,NL,4,5,5,1825.0,125.39,621.473,4530201,23272478.0,True,True,unverified,c101C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c102C25_NL__v0,c102C25_NL,c102,Medium_Network/25_Customers/Nearly_Level/c102C25_NL.txt,Medium_Network,NL,0,9,3,3102.5,217.958,550.976,4506951,14071829.0,True,True,unverified,c102C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c102C25_NL__v1,c102C25_NL,c102,Medium_Network/25_Customers/Nearly_Level/c102C25_NL.txt,Medium_Network,NL,1,8,3,2372.5,152.346,550.976,4506951,14071829.0,True,True,unverified,c102C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c102C25_NL__v2,c102C25_NL,c102,Medium_Network/25_Customers/Nearly_Level/c102C25_NL.txt,Medium_Network,NL,2,8,3,3102.5,180.672,550.976,4506951,14071829.0,True,True,unverified,c102C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c104C25_NL__v0,c104C25_NL,c104,Medium_Network/25_Customers/Nearly_Level/c104C25_NL.txt,Medium_Network,NL,0,8,3,3285.0,107.48,370.635,4459251,13748388.0,True,True,unverified,c104C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c104C25_NL__v1,c104C25_NL,c104,Medium_Network/25_Customers/Nearly_Level/c104C25_NL.txt,Medium_Network,NL,1,9,3,2737.5,137.883,370.635,4459251,13748388.0,True,True,unverified,c104C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c104C25_NL__v2,c104C25_NL,c104,Medium_Network/25_Customers/Nearly_Level/c104C25_NL.txt,Medium_Network,NL,2,8,3,2555.0,125.272,370.635,4459251,13748388.0,True,True,unverified,c104C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c108C25_NL__v0,c108C25_NL,c108,Medium_Network/25_Customers/Nearly_Level/c108C25_NL.txt,Medium_Network,NL,0,6,3,1642.5,162.098,464.677,4776251,14793430.0,True,True,unverified,c108C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c108C25_NL__v1,c108C25_NL,c108,Medium_Network/25_Customers/Nearly_Level/c108C25_NL.txt,Medium_Network,NL,1,9,3,2555.0,106.275,464.677,4776251,14793430.0,True,True,unverified,c108C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
c108C25_NL__v2,c108C25_NL,c108,Medium_Network/25_Customers/Nearly_Level/c108C25_NL.txt,Medium_Network,NL,2,10,3,2920.0,196.304,464.677,4776251,14793430.0,True,True,unverified,c108C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102C25_NL__v0,r102C25_NL,r102,Medium_Network/25_Customers/Nearly_Level/r102C25_NL.txt,Medium_Network,NL,0,5,7,1058.5,107.528,568.496,3429651,24576053.0,True,True,unverified,r102C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102C25_NL__v1,r102C25_NL,r102,Medium_Network/25_Customers/Nearly_Level/r102C25_NL.txt,Medium_Network,NL,1,3,7,748.25,84.849,568.496,3429651,24576053.0,True,True,unverified,r102C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102C25_NL__v2,r102C25_NL,r102,Medium_Network/25_Customers/Nearly_Level/r102C25_NL.txt,Medium_Network,NL,2,3,7,1131.5,35.028,568.496,3429651,24576053.0,True,True,unverified,r102C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102C25_NL__v3,r102C25_NL,r102,Medium_Network/25_Customers/Nearly_Level/r102C25_NL.txt,Medium_Network,NL,3,4,7,1204.5,75.779,568.496,3429651,24576053.0,True,True,unverified,r102C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102C25_NL__v4,r102C25_NL,r102,Medium_Network/25_Customers/Nearly_Level/r102C25_NL.txt,Medium_Network,NL,4,3,7,839.5,74.206,568.496,3429651,24576053.0,True,True,unverified,r102C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102C25_NL__v5,r102C25_NL,r102,Medium_Network/25_Customers/Nearly_Level/r102C25_NL.txt,Medium_Network,NL,5,3,7,1022.0,107.424,568.496,3429651,24576053.0,True,True,unverified,r102C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r102C25_NL__v6,r102C25_NL,r102,Medium_Network/25_Customers/Nearly_Level/r102C25_NL.txt,Medium_Network,NL,6,4,7,401.5,83.682,568.496,3429651,24576053.0,True,True,unverified,r102C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r104C25_NL__v0,r104C25_NL,r104,Medium_Network/25_Customers/Nearly_Level/r104C25_NL.txt,Medium_Network,NL,0,9,3,2682.75,104.031,356.482,3271851,10172035.0,True,True,unverified,r104C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r104C25_NL__v1,r104C25_NL,r104,Medium_Network/25_Customers/Nearly_Level/r104C25_NL.txt,Medium_Network,NL,1,7,3,1441.75,138.571,356.482,3271851,10172035.0,True,True,unverified,r104C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r104C25_NL__v2,r104C25_NL,r104,Medium_Network/25_Customers/Nearly_Level/r104C25_NL.txt,Medium_Network,NL,2,9,3,2482.0,113.88,356.482,3271851,10172035.0,True,True,unverified,r104C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r107C25_NL__v0,r107C25_NL,r107,Medium_Network/25_Customers/Nearly_Level/r107C25_NL.txt,Medium_Network,NL,0,7,4,1697.25,108.175,443.07,4136751,16990074.0,True,True,unverified,r107C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r107C25_NL__v1,r107C25_NL,r107,Medium_Network/25_Customers/Nearly_Level/r107C25_NL.txt,Medium_Network,NL,1,7,4,1478.25,119.065,443.07,4136751,16990074.0,True,True,unverified,r107C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r107C25_NL__v2,r107C25_NL,r107,Medium_Network/25_Customers/Nearly_Level/r107C25_NL.txt,Medium_Network,NL,2,7,4,1916.25,123.97,443.07,4136751,16990074.0,True,True,unverified,r107C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r107C25_NL__v3,r107C25_NL,r107,Medium_Network/25_Customers/Nearly_Level/r107C25_NL.txt,Medium_Network,NL,3,4,4,1587.75,91.86,443.07,4136751,16990074.0,True,True,unverified,r107C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r110C25_NL__v0,r110C25_NL,r110,Medium_Network/25_Customers/Nearly_Level/r110C25_NL.txt,Medium_Network,NL,0,10,4,2281.25,99.686,416.699,3802951,15628503.0,True,True,unverified,r110C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r110C25_NL__v1,r110C25_NL,r110,Medium_Network/25_Customers/Nearly_Level/r110C25_NL.txt,Medium_Network,NL,1,4,4,949.0,82.212,416.699,3802951,15628503.0,True,True,unverified,r110C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r110C25_NL__v2,r110C25_NL,r110,Medium_Network/25_Customers/Nearly_Level/r110C25_NL.txt,Medium_Network,NL,2,6,4,1934.5,118.417,416.699,3802951,15628503.0,True,True,unverified,r110C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
r110C25_NL__v3,r110C25_NL,r110,Medium_Network/25_Customers/Nearly_Level/r110C25_NL.txt,Medium_Network,NL,3,5,4,1697.25,116.384,416.699,3802951,15628503.0,True,True,unverified,r110C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
rc101C25_NL__v0,rc101C25_NL,rc101,Medium_Network/25_Customers/Nearly_Level/rc101C25_NL.txt,Medium_Network,NL,0,3,5,803.0,144.902,670.302,4563151,23486057.0,True,True,unverified,rc101C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
rc101C25_NL__v1,rc101C25_NL,rc101,Medium_Network/25_Customers/Nearly_Level/rc101C25_NL.txt,Medium_Network,NL,1,5,5,1624.25,159.673,670.302,4563151,23486057.0,True,True,unverified,rc101C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
rc101C25_NL__v2,rc101C25_NL,rc101,Medium_Network/25_Customers/Nearly_Level/rc101C25_NL.txt,Medium_Network,NL,2,4,5,1496.5,111.98,670.302,4563151,23486057.0,True,True,unverified,rc101C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
rc101C25_NL__v3,rc101C25_NL,rc101,Medium_Network/25_Customers/Nearly_Level/rc101C25_NL.txt,Medium_Network,NL,3,7,5,2463.75,138.442,670.302,4563151,23486057.0,True,True,unverified,rc101C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
rc101C25_NL__v4,rc101C25_NL,rc101,Medium_Network/25_Customers/Nearly_Level/rc101C25_NL.txt,Medium_Network,NL,4,6,5,1825.0,115.305,670.302,4563151,23486057.0,True,True,unverified,rc101C25_NL,False,unrestricted_fleet_with_fixed_cost,pyvrp,0.14.0,42,20000,394e2059a0b4f9bd26be2a162b6105bef55fcdc40da0d4c2ec1fbc8c32058a9f,official_evrptwgr,[]
